센터,국사,작년누계,올해누계,누계대비,누계증감율,20230301,20240228,20240228전력대비,20240228전력증감율
경기북부액세스운용센터,고양,2009908.8,1910204.64,-99704.16,-4.96,27923.58,33384.24,5460.66,19.56
경기북부액세스운용센터,능곡(본동),197286.95,167195.05,-30091.9,-15.25,3185.17,2682.79,-502.38,-15.77
경기북부액세스운용센터,일산,942972.66,865210.41,-77762.25,-8.25,15922.26,14255.19,-1667.07,-10.47
경기북부액세스운용센터,의정부(본동),306053.04,297282.06,-8770.98,-2.87,4407.66,4916.88,509.22,11.55
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,243807.22,232921.46,-10885.76,-4.46,3926.58,3802.88,-123.7,-3.15
경기북부액세스운용센터,구리,268984.26,228153.42,-40830.84,-15.18,7703.1,7407.54,-295.56,-3.84
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,95533.32,77563.74,-17969.58,-18.81,2158.14,1852.57,-305.57,-14.16
경기북부액세스운용센터,동의정부,517822.81,482897.47,-34925.34,-6.74,8438.62,7700.33,-738.29,-8.75
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,464956.38,450503.4,-14452.98,-3.11,7610.88,7246.14,-364.74,-4.79
강원액세스운용센터,속초,311442.02,303104.78,-8337.24,-2.68,4560.36,5117.7,557.34,12.22
강원액세스운용센터,춘천,385832.25,347801.76,-38030.49,-9.86,10585.71,10040.04,-545.67,-5.15
강원액세스운용센터,철원,46938.34,69367.93,22429.59,47.79,748.71,1088.15,339.44,45.34
강원액세스운용센터,대화,61114.62,58336.51,-2778.11,-4.55,857.8,1023.38,165.58,19.3
강원액세스운용센터,원주,968020.74,893842.2,-74178.54,-7.66,14492.07,14840.73,348.66,2.41
강원액세스운용센터,서강릉,241616.28,223868.59,-17747.69,-7.35,3402.32,3539.06,136.74,4.02
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),307824.36,309446.28,1621.92,0.53,3620.88,5170.56,1549.68,42.8
서울강북액세스운용센터,행당,1039789.32,991125.78,-48663.54,-4.68,16914.9,16359.84,-555.06,-3.28
서울강북액세스운용센터,은평,823756.44,785493.78,-38262.66,-4.64,12554.52,13388.52,834.0,6.64
서울강북액세스운용센터,도봉,833695.38,775284.39,-58410.99,-7.01,13806.81,12796.38,-1010.43,-7.32
서울강북액세스운용센터,전농,269856.87,235918.28,-33938.59,-12.58,3816.38,4046.47,230.09,6.03
서울강북액세스운용센터,성수,569038.14,465641.22,-103396.92,-18.17,8507.22,7860.06,-647.16,-7.61
서울강북액세스운용센터,아현,1325103.24,1295299.08,-29804.16,-2.25,22326.36,21470.52,-855.84,-3.83
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),572120.16,566167.56,-5952.6,-1.04,8163.36,9528.0,1364.64,16.72
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,375056.76,356750.01,-18306.75,-4.88,4979.73,5816.99,837.26,16.81
강북/강원코어운용센터,혜화,8967690.0,8833253.04,-134436.96,-1.5,152524.8,146071.44,-6453.36,-4.23
강북/강원ICT기술담당,강원교환국사,92790.22,84423.21,-8367.01,-9.02,1118.52,1523.75,405.23,36.23
