센터,국사,작년누계,올해누계,누계대비,누계증감율,20230304,20240302,20240302전력대비,20240302전력증감율
경기북부액세스운용센터,고양,2103094.08,1995271.56,-107822.52,-5.13,26991.0,25662.24,-1328.76,-4.92
경기북부액세스운용센터,능곡(본동),207221.9,175023.52,-32198.38,-15.54,3195.58,2577.69,-617.89,-19.34
경기북부액세스운용센터,일산,992049.75,906315.93,-85733.82,-8.64,16087.14,13459.68,-2627.46,-16.33
경기북부액세스운용센터,의정부(본동),321141.06,310551.9,-10589.16,-3.3,4360.92,4199.88,-161.04,-3.69
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,256275.69,243783.14,-12492.55,-4.87,3960.47,3495.72,-464.75,-11.73
경기북부액세스운용센터,구리,294061.41,249096.6,-44964.81,-15.29,7855.65,6890.85,-964.8,-12.28
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,102616.85,82970.27,-19646.58,-19.15,2203.26,1792.1,-411.16,-18.66
경기북부액세스운용센터,동의정부,544407.08,504939.24,-39467.84,-7.25,8559.24,7282.67,-1276.57,-14.91
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,488802.72,471132.84,-17669.88,-3.61,7577.22,6771.96,-805.26,-10.63
강원액세스운용센터,속초,326500.69,316450.64,-10050.05,-3.08,4518.73,4185.62,-333.11,-7.37
강원액세스운용센터,춘천,420732.9,375808.32,-44924.58,-10.68,10481.49,9335.79,-1145.7,-10.93
강원액세스운용센터,철원,49354.18,72522.5,23168.32,46.94,755.37,1039.21,283.84,37.58
강원액세스운용센터,대화,64123.81,61242.17,-2881.64,-4.49,843.09,942.41,99.32,11.78
강원액세스운용센터,원주,1015950.69,934062.84,-81887.85,-8.06,14666.58,12883.86,-1782.72,-12.15
강원액세스운용센터,서강릉,253503.19,232278.25,-21224.94,-8.37,3515.97,2413.81,-1102.16,-31.35
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),321988.68,322714.98,726.3,0.23,3818.46,4193.64,375.18,9.83
서울강북액세스운용센터,행당,1092321.24,1037625.72,-54695.52,-5.01,17120.52,15166.5,-1954.02,-11.41
서울강북액세스운용센터,은평,865173.6,822580.08,-42593.52,-4.92,12821.88,11985.72,-836.16,-6.52
서울강북액세스운용센터,도봉,876599.46,811437.39,-65162.07,-7.43,13970.7,11735.37,-2235.33,-16.0
서울강북액세스운용센터,전농,283282.6,247460.02,-35822.58,-12.65,4019.87,3870.76,-149.11,-3.71
서울강북액세스운용센터,성수,597352.92,487060.68,-110292.24,-18.46,8746.68,6981.36,-1765.32,-20.18
서울강북액세스운용센터,아현,1393286.76,1358803.32,-34483.44,-2.47,22725.6,20957.4,-1768.2,-7.78
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),601311.36,592293.48,-9017.88,-1.5,8131.44,8525.04,393.6,4.84
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,393280.05,372046.57,-21233.48,-5.4,5089.11,4919.1,-170.01,-3.34
강북/강원코어운용센터,혜화,9426801.6,9263239.2,-163562.4,-1.74,151758.72,141949.44,-9809.28,-6.46
강북/강원ICT기술담당,강원교환국사,96603.75,87417.47,-9186.28,-9.51,839.19,770.64,-68.55,-8.17
