센터,국사,작년누계,올해누계,누계대비,누계증감율,20230303,20240301,20240301전력대비,20240301전력증감율
경기북부액세스운용센터,고양,2076103.08,1969609.32,-106493.76,-5.13,33379.74,26098.56,-7281.18,-21.81
경기북부액세스운용센터,능곡(본동),204026.32,172445.83,-31580.49,-15.48,3372.03,2552.61,-819.42,-24.3
경기북부액세스운용센터,일산,975962.61,892856.25,-83106.36,-8.52,16558.11,13506.03,-3052.08,-18.43
경기북부액세스운용센터,의정부(본동),316780.14,306352.02,-10428.12,-3.29,5333.16,4179.9,-1153.26,-21.62
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,252315.22,240287.42,-12027.8,-4.77,4207.31,3532.22,-675.09,-16.05
경기북부액세스운용센터,구리,286205.76,242205.75,-44000.01,-15.37,8488.35,6747.39,-1740.96,-20.51
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,100413.59,81178.17,-19235.42,-19.16,2414.58,1736.33,-678.25,-28.09
경기북부액세스운용센터,동의정부,535847.84,497656.57,-38191.27,-7.13,8924.41,7185.48,-1738.93,-19.49
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,481225.5,464360.88,-16864.62,-3.5,8213.28,6578.22,-1635.06,-19.91
강원액세스운용센터,속초,321981.96,312265.02,-9716.94,-3.02,5152.2,4112.59,-1039.61,-20.18
강원액세스운용센터,춘천,410251.41,366472.53,-43778.88,-10.67,12074.22,8797.14,-3277.08,-27.14
강원액세스운용센터,철원,48598.81,71483.29,22884.48,47.09,828.48,1024.86,196.38,23.7
강원액세스운용센터,대화,63280.72,60299.76,-2980.96,-4.71,1038.76,923.01,-115.75,-11.14
강원액세스운용센터,원주,1001284.11,921178.98,-80105.13,-8.0,16552.71,12706.65,-3846.06,-23.24
강원액세스운용센터,서강릉,249987.22,229864.44,-20122.78,-8.05,4076.6,2457.33,-1619.27,-39.72
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),318170.22,318521.34,351.12,0.11,5242.02,4189.98,-1052.04,-20.07
서울강북액세스운용센터,행당,1075200.72,1022459.22,-52741.5,-4.91,17736.48,15144.36,-2592.12,-14.61
서울강북액세스운용센터,은평,852351.72,810594.36,-41757.36,-4.9,14242.44,11832.18,-2410.26,-16.92
서울강북액세스운용센터,도봉,862628.76,799702.02,-62926.74,-7.29,14487.66,11718.54,-2769.12,-19.11
서울강북액세스운용센터,전농,279262.73,243589.26,-35673.47,-12.77,4679.6,3532.27,-1147.33,-24.52
서울강북액세스운용센터,성수,588606.24,480079.32,-108526.92,-18.44,9765.0,6670.5,-3094.5,-31.69
서울강북액세스운용센터,아현,1370561.16,1337845.92,-32715.24,-2.39,22809.48,21016.92,-1792.56,-7.86
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),593179.92,583768.44,-9411.48,-1.59,10393.92,8042.16,-2351.76,-22.63
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,388190.94,367127.47,-21063.47,-5.43,6476.66,4578.21,-1898.45,-29.31
강북/강원코어운용센터,혜화,9268765.92,9115384.32,-153381.6,-1.65,146821.68,136225.44,-10596.24,-7.22
강북/강원ICT기술담당,강원교환국사,95764.56,86646.83,-9117.73,-9.52,1478.23,824.41,-653.82,-44.23
