센터,국사,작년누계,올해누계,누계대비,누계증감율,20230228,20240227,20240227전력대비,20240227전력증감율
경기북부액세스운용센터,고양,1981985.22,1876820.4,-105164.82,-5.31,34077.06,34749.36,672.3,1.97
경기북부액세스운용센터,능곡(본동),194101.78,164512.26,-29589.52,-15.24,3372.09,2701.59,-670.5,-19.88
경기북부액세스운용센터,일산,919478.61,844427.43,-75051.18,-8.16,9058.68,7838.64,-1220.04,-13.47
경기북부액세스운용센터,의정부(본동),301645.38,292365.18,-9280.2,-3.08,5505.18,4913.1,-592.08,-10.75
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,239880.64,229118.58,-10762.06,-4.49,4253.34,3933.56,-319.78,-7.52
경기북부액세스운용센터,구리,261281.16,220745.88,-40535.28,-15.51,8655.3,7540.11,-1115.19,-12.88
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,93375.18,75711.17,-17664.01,-18.92,2517.99,1892.96,-625.03,-24.82
경기북부액세스운용센터,동의정부,509384.19,475197.14,-34187.05,-6.71,9145.91,7680.17,-1465.74,-16.03
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,457345.5,443257.26,-14088.24,-3.08,8248.14,7266.06,-982.08,-11.91
강원액세스운용센터,속초,306881.66,297987.08,-8894.58,-2.9,5358.9,5238.28,-120.62,-2.25
강원액세스운용센터,춘천,375246.54,337761.72,-37484.82,-9.99,12207.69,10504.17,-1703.52,-13.95
강원액세스운용센터,철원,46189.63,68279.78,22090.15,47.82,826.85,1115.37,288.52,34.89
강원액세스운용센터,대화,60256.82,57313.13,-2943.69,-4.89,1018.12,1061.79,43.67,4.29
강원액세스운용센터,원주,953528.67,879001.47,-74527.2,-7.82,17054.1,14880.87,-2173.23,-12.74
강원액세스운용센터,서강릉,238213.96,220329.53,-17884.43,-7.51,4092.78,3721.19,-371.59,-9.08
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),304203.48,304275.72,72.24,0.02,4984.14,5150.88,166.74,3.35
서울강북액세스운용센터,행당,1022874.42,974765.94,-48108.48,-4.7,17859.48,16252.2,-1607.28,-9.0
서울강북액세스운용센터,은평,811201.92,772105.26,-39096.66,-4.82,14176.74,13542.84,-633.9,-4.47
서울강북액세스운용센터,도봉,819888.57,762488.01,-57400.56,-7.0,14608.89,12918.42,-1690.47,-11.57
서울강북액세스운용센터,전농,266040.49,231871.81,-34168.68,-12.84,4698.77,4140.85,-557.92,-11.87
서울강북액세스운용센터,성수,560530.92,457781.16,-102749.76,-18.33,9672.18,8658.12,-1014.06,-10.48
서울강북액세스운용센터,아현,1302776.88,1273828.56,-28948.32,-2.22,22831.92,21553.56,-1278.36,-5.6
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),563956.8,556639.56,-7317.24,-1.3,10288.32,9852.48,-435.84,-4.24
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,370077.03,350933.02,-19144.01,-5.17,6550.27,5990.42,-559.85,-8.55
강북/강원코어운용센터,혜화,8815165.2,8687181.6,-127983.6,-1.45,154149.84,146801.52,-7348.32,-4.77
강북/강원ICT기술담당,강원교환국사,91671.7,82899.46,-8772.24,-9.57,1649.09,1414.04,-235.05,-14.25
