센터,국사,작년누계,올해누계,누계대비,누계증감율,20230224,20240223,20240223전력대비,20240223전력증감율,20230225,20240224,20240224전력대비,20240224전력증감율,20230226,20240225,20240225전력대비,20240225전력증감율
경기북부액세스운용센터,고양,1914133.32,1807076.88,-107056.44,-5.59,33564.06,35238.24,1674.18,4.99,27494.1,27332.28,-161.82,-0.59,26692.74,26578.44,-114.3,-0.43
경기북부액세스운용센터,능곡(본동),187363.11,159113.78,-28249.33,-15.08,3389.25,2690.78,-698.47,-20.61,3181.42,2563.49,-617.93,-19.42,3137.7,2524.35,-613.35,-19.55
경기북부액세스운용센터,일산,894093.03,822358.08,-71734.95,-8.02,16484.85,14231.7,-2253.15,-13.67,15802.65,13721.94,-2080.71,-13.17,15650.64,13580.82,-2069.82,-13.23
경기북부액세스운용센터,의정부(본동),290661.72,282405.72,-8256.0,-2.84,5332.26,4887.48,-444.78,-8.34,4455.12,4073.64,-381.48,-8.56,4212.42,3935.64,-276.78,-6.57
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,231403.01,221266.25,-10136.76,-4.38,4268.38,3846.58,-421.8,-9.88,3833.66,3540.81,-292.85,-7.64,3816.57,3491.3,-325.27,-8.52
경기북부액세스운용센터,구리,243864.9,205691.49,-38173.41,-15.65,8561.52,7401.51,-1160.01,-13.55,7759.17,6668.82,-1090.35,-14.05,7497.36,6519.69,-977.67,-13.04
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,88354.77,71878.91,-16475.86,-18.65,2354.12,1830.5,-523.62,-22.24,2166.33,1730.56,-435.77,-20.12,2007.23,1526.43,-480.8,-23.95
경기북부액세스운용센터,동의정부,491116.73,459616.79,-31499.94,-6.41,8887.41,7823.95,-1063.46,-11.97,8408.52,7369.51,-1039.01,-12.36,8325.56,7291.67,-1033.89,-12.42
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,440901.66,428517.84,-12383.82,-2.81,8036.52,7500.36,-536.16,-6.67,7513.92,6943.26,-570.66,-7.59,7363.68,6599.16,-764.52,-10.38
강원액세스운용센터,속초,296142.66,287452.14,-8690.52,-2.93,5349.62,5358.61,8.99,0.17,4751.04,4550.51,-200.53,-4.22,4645.2,4469.1,-176.1,-3.79
강원액세스운용센터,춘천,350726.76,316520.01,-34206.75,-9.75,12025.62,10692.63,-1332.99,-11.08,10790.73,9433.17,-1357.56,-12.58,10322.82,8939.43,-1383.39,-13.4
강원액세스운용센터,철원,44541.81,66055.52,21513.71,48.3,815.41,1136.59,321.18,39.39,742.88,1032.11,289.23,38.93,732.05,1019.32,287.27,39.24
강원액세스운용센터,대화,58192.14,55238.78,-2953.36,-5.08,1073.9,1068.89,-5.01,-0.47,857.97,892.68,34.71,4.05,849.56,865.92,16.36,1.93
강원액세스운용센터,원주,919175.13,848961.81,-70213.32,-7.64,16768.26,15008.67,-1759.59,-10.49,14255.01,12852.54,-1402.47,-9.84,14004.81,12567.51,-1437.3,-10.26
강원액세스운용센터,서강릉,229964.27,212840.5,-17123.77,-7.45,4287.28,3846.42,-440.86,-10.28,3494.02,2911.43,-582.59,-16.67,3475.92,2651.75,-824.17,-23.71
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),293783.46,293789.46,6.0,0.0,5026.74,5312.58,285.84,5.69,3960.24,4635.12,674.88,17.04,3599.16,4220.34,621.18,17.26
서울강북액세스운용센터,행당,987149.4,942259.14,-44890.26,-4.55,17865.48,16336.5,-1528.98,-8.56,16795.74,15611.4,-1184.34,-7.05,16794.84,15632.34,-1162.5,-6.92
서울강북액세스운용센터,은평,782727.0,745154.64,-37572.36,-4.8,14306.82,13541.04,-765.78,-5.35,12964.2,11784.06,-1180.14,-9.1,12310.38,11546.64,-763.74,-6.2
서울강북액세스운용센터,도봉,790647.48,736783.29,-53864.19,-6.81,14332.5,12582.81,-1749.69,-12.21,13730.31,11945.52,-1784.79,-13.0,13706.28,11848.14,-1858.14,-13.56
서울강북액세스운용센터,전농,256637.13,223570.42,-33066.71,-12.88,4561.58,4271.97,-289.61,-6.35,4004.88,3725.96,-278.92,-6.96,3622.83,3438.21,-184.62,-5.1
서울강북액세스운용센터,성수,541070.82,440455.98,-100614.84,-18.6,9961.2,8079.54,-1881.66,-18.89,8821.26,7130.58,-1690.68,-19.17,8488.92,6841.62,-1647.3,-19.41
서울강북액세스운용센터,아현,1257052.56,1230641.64,-26410.92,-2.1,22571.52,21292.32,-1279.2,-5.67,21967.56,20723.16,-1244.4,-5.66,21804.84,20526.96,-1277.88,-5.86
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),543438.6,536929.92,-6508.68,-1.2,10304.4,10324.44,20.04,0.19,8355.6,8368.56,12.96,0.16,7961.52,7227.0,-734.52,-9.23
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,356980.65,338831.5,-18149.15,-5.08,6395.13,5902.74,-492.39,-7.7,5315.4,4790.45,-524.95,-9.88,5090.98,4554.18,-536.8,-10.54
강북/강원코어운용센터,혜화,8507423.52,8393685.84,-113737.68,-1.34,153535.68,146159.28,-7376.4,-4.8,150080.4,143182.08,-6898.32,-4.6,150125.04,143290.8,-6834.24,-4.55
강북/강원ICT기술담당,강원교환국사,88438.31,79845.94,-8592.37,-9.72,1592.61,1406.47,-186.14,-11.69,841.66,729.81,-111.85,-13.29,880.17,704.36,-175.81,-19.97
