센터,국사,작년누계,올해누계,누계대비,누계증감율,20230302,20240229,20240229전력대비,20240229전력증감율
경기북부액세스운용센터,고양,2042723.34,1943510.76,-99212.58,-4.86,32814.54,33306.12,491.58,1.5
경기북부액세스운용센터,능곡(본동),200654.29,169893.22,-30761.07,-15.33,3367.34,2698.17,-669.17,-19.87
경기북부액세스운용센터,일산,959404.5,879350.22,-80054.28,-8.34,16431.84,14139.81,-2292.03,-13.95
경기북부액세스운용센터,의정부(본동),311446.98,302172.12,-9274.86,-2.98,5393.94,4890.06,-503.88,-9.34
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,248107.91,236755.2,-11352.71,-4.58,4300.69,3833.74,-466.95,-10.86
경기북부액세스운용센터,구리,277717.41,235458.36,-42259.05,-15.22,8733.15,7304.94,-1428.21,-16.35
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,97999.01,79441.84,-18557.17,-18.94,2465.69,1878.1,-587.59,-23.83
경기북부액세스운용센터,동의정부,526923.43,490471.09,-36452.34,-6.92,9100.62,7573.62,-1527.0,-16.78
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,473012.22,457782.66,-15229.56,-3.22,8055.84,7279.26,-776.58,-9.64
강원액세스운용센터,속초,316829.76,308152.43,-8677.33,-2.74,5387.74,5047.65,-340.09,-6.31
강원액세스운용센터,춘천,398177.19,357675.39,-40501.8,-10.17,12344.94,9873.63,-2471.31,-20.02
강원액세스운용센터,철원,47770.33,70458.43,22688.1,47.49,831.99,1090.5,258.51,31.07
강원액세스운용센터,대화,62241.96,59376.75,-2865.21,-4.6,1127.34,1040.24,-87.1,-7.73
강원액세스운용센터,원주,984731.4,908472.33,-76259.07,-7.74,16710.66,14630.13,-2080.53,-12.45
강원액세스운용센터,서강릉,245910.62,227407.11,-18503.51,-7.52,4294.34,3538.52,-755.82,-17.6
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),312928.2,314331.36,1403.16,0.45,5103.84,4885.08,-218.76,-4.29
서울강북액세스운용센터,행당,1057464.24,1007314.86,-50149.38,-4.74,17674.92,16189.08,-1485.84,-8.41
서울강북액세스운용센터,은평,838109.28,798762.18,-39347.1,-4.69,14352.84,13268.4,-1084.44,-7.56
서울강북액세스운용센터,도봉,848141.1,787983.48,-60157.62,-7.09,14445.72,12699.09,-1746.63,-12.09
서울강북액세스운용센터,전농,274583.13,240056.99,-34526.14,-12.57,4726.26,4138.71,-587.55,-12.43
서울강북액세스운용센터,성수,578841.24,473408.82,-105432.42,-18.21,9803.1,7767.6,-2035.5,-20.76
서울강북액세스운용센터,아현,1347751.68,1316829.0,-30922.68,-2.29,22648.44,21529.92,-1118.52,-4.94
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),582786.0,575726.28,-7059.72,-1.21,10665.84,9558.72,-1107.12,-10.38
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,381714.28,362549.26,-19165.02,-5.02,6657.52,5799.25,-858.27,-12.89
강북/강원코어운용센터,혜화,9121944.24,8979158.88,-142785.36,-1.57,154254.24,145905.84,-8348.4,-5.41
강북/강원ICT기술담당,강원교환국사,94286.33,85822.42,-8463.91,-8.98,1496.11,1399.21,-96.9,-6.48
